city,state_name,lat,lng,population,probability,n_prob,,state,score,prob,,Metrics
Golden Valley,Arizona,35.2233312,-114.2230108,8370,0.016554986,0.000178745,,,,,,
Catalina,Arizona,32.5055556,-110.9211111,7569,0.016554986,0.000178745,,,,,,
Globe,Arizona,33.3942223,-110.7864984,7532,0.016554986,0.000178745,,,,,,
Page,Arizona,36.9147222,-111.4558333,7247,0.016554986,0.000178745,,,,,,
Tolleson,Arizona,33.4500425,-112.259321,6545,0.016554986,0.000178745,,,,,,
Little Rock,Arkansas,34.7464809,-92.2895948,193524,0.007883327,8.51165E-05,,,,,,
Fort Smith,Arkansas,35.3859242,-94.3985475,86209,0.007883327,8.51165E-05,,,,,,
Fayetteville,Arkansas,36.0625795,-94.1574263,73580,0.007883327,8.51165E-05,,,,,,
Springdale,Arkansas,36.1867442,-94.1288142,69797,0.007883327,8.51165E-05,,,,,,
Jonesboro,Arkansas,35.8422967,-90.7042791,67263,0.007883327,8.51165E-05,,,,,,
North Little Rock,Arkansas,34.769536,-92.2670941,62304,0.007883327,8.51165E-05,,,,,,
Conway,Arkansas,35.0886963,-92.4421011,58908,0.007883327,8.51165E-05,,,,,,
Rogers,Arkansas,36.3320197,-94.1185366,55964,0.007883327,8.51165E-05,,,,,,
Pine Bluff,Arkansas,34.2284312,-92.0031955,49083,0.007883327,8.51165E-05,,,,,,
Bentonville,Arkansas,36.3728538,-94.2088172,35301,0.007883327,8.51165E-05,,,,,,
Hot Springs,Arkansas,34.5037004,-93.0551795,35193,0.007883327,8.51165E-05,,,,,,
Benton,Arkansas,34.5645372,-92.586828,30681,0.007883327,8.51165E-05,,,,,,
Texarkana,Arkansas,33.4417915,-94.0376881,29919,0.007883327,8.51165E-05,,,,,,
Sherwood,Arkansas,34.8150907,-92.2243153,29523,0.007883327,8.51165E-05,,,,,,
Jacksonville,Arkansas,34.8662005,-92.1101458,28364,0.007883327,8.51165E-05,,,,,,
Russellville,Arkansas,35.2784173,-93.1337856,27920,0.007883327,8.51165E-05,,,,,,
Bella Vista,Arkansas,36.42952,-94.2315959,26461,0.007883327,8.51165E-05,,,,,,
West Memphis,Arkansas,35.1464797,-90.1845388,26245,0.007883327,8.51165E-05,,,,,,
Paragould,Arkansas,36.0584021,-90.4973286,26113,0.007883327,8.51165E-05,,,,,,
Cabot,Arkansas,34.974532,-92.0165336,23776,0.007883327,8.51165E-05,,,,,,
Searcy,Arkansas,35.2506406,-91.7362488,22858,0.007883327,8.51165E-05,,,,,,
Van Buren,Arkansas,35.436756,-94.348268,22791,0.007883327,8.51165E-05,,,,,,
El Dorado,Arkansas,33.20763,-92.6662674,18884,0.007883327,8.51165E-05,,,,,,
Maumelle,Arkansas,34.8667565,-92.4043219,17163,0.007883327,8.51165E-05,,,,,,
Bryant,Arkansas,34.5959265,-92.4890469,16688,0.007883327,8.51165E-05,,,,,,
Blytheville,Arkansas,35.9272953,-89.9189754,15620,0.007883327,8.51165E-05,,,,,,
Forrest City,Arkansas,35.0081474,-90.7898342,15371,0.007883327,8.51165E-05,,,,,,
Siloam Springs,Arkansas,36.1881365,-94.5404962,15039,0.007883327,8.51165E-05,,,,,,
Harrison,Arkansas,36.2297936,-93.1076765,12943,0.007883327,8.51165E-05,,,,,,
Hot Springs Village,Arkansas,34.6720356,-92.9987886,12807,0.007883327,8.51165E-05,,,,,,
Mountain Home,Arkansas,36.3353449,-92.3851593,12448,0.007883327,8.51165E-05,,,,,,
Marion,Arkansas,35.2145337,-90.1964836,12345,0.007883327,8.51165E-05,,,,,,
Camden,Arkansas,33.5845582,-92.8343294,12183,0.007883327,8.51165E-05,,,,,,
Magnolia,Arkansas,33.2670725,-93.2393341,11577,0.007883327,8.51165E-05,,,,,,
Arkadelphia,Arkansas,34.1209292,-93.053784,10714,0.007883327,8.51165E-05,,,,,,
Malvern,Arkansas,34.3623149,-92.8129463,10318,0.007883327,8.51165E-05,,,,,,
Batesville,Arkansas,35.769799,-91.6409722,10248,0.007883327,8.51165E-05,,,,,,
Hope,Arkansas,33.6670616,-93.5915665,10095,0.007883327,8.51165E-05,,,,,,
Centerton,Arkansas,36.359799,-94.2852085,9515,0.007883327,8.51165E-05,,,,,,
Monticello,Arkansas,33.6289974,-91.7909639,9467,0.007883327,8.51165E-05,,,,,,
Stuttgart,Arkansas,34.5003748,-91.5526281,9326,0.007883327,8.51165E-05,,,,,,
Clarksville,Arkansas,35.4714724,-93.4665731,9178,0.007883327,8.51165E-05,,,,,,
Greenwood,Arkansas,35.2156489,-94.2557663,8952,0.007883327,8.51165E-05,,,,,,
Wynne,Arkansas,35.224533,-90.7867798,8367,0.007883327,8.51165E-05,,,,,,
Newport,Arkansas,35.6048018,-91.2817951,7879,0.007883327,8.51165E-05,,,,,,
Osceola,Arkansas,35.7050778,-89.969532,7757,0.007883327,8.51165E-05,,,,,,
Lowell,Arkansas,36.2553543,-94.1307587,7327,0.007883327,8.51165E-05,,,,,,
Beebe,Arkansas,35.0706424,-91.8795856,7315,0.007883327,8.51165E-05,,,,,,
Trumann,Arkansas,35.6736895,-90.5073285,7243,0.007883327,8.51165E-05,,,,,,
Heber Springs,Arkansas,35.4914677,-92.03126,7165,0.007883327,8.51165E-05,,,,,,
East End,Arkansas,34.5506494,-92.3409861,6998,0.007883327,8.51165E-05,,,,,,
Morrilton,Arkansas,35.1509173,-92.7440538,6767,0.007883327,8.51165E-05,,,,,,
Pocahontas,Arkansas,36.2614555,-90.971233,6608,0.007883327,8.51165E-05,,,,,,
De Queen,Arkansas,34.0378916,-94.3413168,6594,0.007883327,8.51165E-05,,,,,,
Los Angeles,California,34.0522342,-118.2436849,3792621,0.021284982,0.000229815,,,,,,
San Diego,California,32.7153292,-117.1572551,1307402,0.021284982,0.000229815,,,,,,
San Jose,California,37.3393857,-121.8949555,945942,0.021284982,0.000229815,,,,,,
San Francisco,California,37.7749295,-122.4194155,805235,0.021284982,0.000229815,,,,,,
Fresno,California,36.7477272,-119.7723661,494665,0.021284982,0.000229815,,,,,,
Sacramento,California,38.5815719,-121.4943996,466488,0.021284982,0.000229815,,,,,,
Long Beach,California,33.7669623,-118.1892348,462257,0.021284982,0.000229815,,,,,,
Oakland,California,37.8043722,-122.2708026,390724,0.021284982,0.000229815,,,,,,
Bakersfield,California,35.3732921,-119.0187125,347483,0.021284982,0.000229815,,,,,,
Anaheim,California,33.8352932,-117.9145036,336265,0.021284982,0.000229815,,,,,,
Santa Ana,California,33.7455731,-117.8678338,324528,0.021284982,0.000229815,,,,,,
Riverside,California,33.9533487,-117.3961564,303871,0.021284982,0.000229815,,,,,,
Stockton,California,37.9577016,-121.2907796,291707,0.021284982,0.000229815,,,,,,
Chula Vista,California,32.6400541,-117.0841955,243916,0.021284982,0.000229815,,,,,,
Fremont,California,37.5482697,-121.9885719,214089,0.021284982,0.000229815,,,,,,
Irvine,California,33.6694649,-117.8231107,212375,0.021284982,0.000229815,,,,,,
San Bernardino,California,34.1083449,-117.2897652,209924,0.021284982,0.000229815,,,,,,
Modesto,California,37.6390972,-120.9968782,201165,0.021284982,0.000229815,,,,,,
Oxnard,California,34.1975048,-119.1770516,197899,0.021284982,0.000229815,,,,,,
Fontana,California,34.0922335,-117.435048,196069,0.021284982,0.000229815,,,,,,
Moreno Valley,California,33.937517,-117.2305944,193365,0.021284982,0.000229815,,,,,,
Glendale,California,34.1425078,-118.255075,191719,0.021284982,0.000229815,,,,,,
Huntington Beach,California,33.660297,-117.9992265,189992,0.021284982,0.000229815,,,,,,
Santa Clarita,California,34.3916641,-118.542586,176320,0.021284982,0.000229815,,,,,,
Garden Grove,California,33.7739053,-117.9414477,170883,0.021284982,0.000229815,,,,,,
Santa Rosa,California,38.4404675,-122.7144314,167815,0.021284982,0.000229815,,,,,,
Oceanside,California,33.1958696,-117.3794834,167086,0.021284982,0.000229815,,,,,,
Rancho Cucamonga,California,34.1063989,-117.5931084,165269,0.021284982,0.000229815,,,,,,
Ontario,California,34.0633443,-117.6508876,163924,0.021284982,0.000229815,,,,,,
Lancaster,California,34.6980406,-118.1367393,156633,0.021284982,0.000229815,,,,,,
Elk Grove,California,38.4087993,-121.3716178,153015,0.021284982,0.000229815,,,,,,
Palmdale,California,34.5794343,-118.1164613,152750,0.021284982,0.000229815,,,,,,
Corona,California,33.8752935,-117.5664384,152374,0.021284982,0.000229815,,,,,,
Salinas,California,36.6777372,-121.6555013,150441,0.021284982,0.000229815,,,,,,
Pomona,California,34.0552886,-117.7522793,149058,0.021284982,0.000229815,,,,,,
Torrance,California,33.8358492,-118.3406288,145438,0.021284982,0.000229815,,,,,,
Hayward,California,37.6688205,-122.0807964,144186,0.021284982,0.000229815,,,,,,
Escondido,California,33.1192068,-117.086421,143911,0.021284982,0.000229815,,,,,,
Sunnyvale,California,37.3688301,-122.0363496,140081,0.021284982,0.000229815,,,,,,
Pasadena,California,34.1477849,-118.1445155,137122,0.021284982,0.000229815,,,,,,
Orange,California,33.7877945,-117.8531119,136416,0.021284982,0.000229815,,,,,,
Fullerton,California,33.8702924,-117.925338,135161,0.021284982,0.000229815,,,,,,
Thousand Oaks,California,34.1705609,-118.8375937,126683,0.021284982,0.000229815,,,,,,
East Los Angeles,California,34.0239015,-118.1720157,126496,0.021284982,0.000229815,,,,,,
Visalia,California,36.3302284,-119.2920585,124442,0.021284982,0.000229815,,,,,,
Simi Valley,California,34.2694474,-118.781482,124237,0.021284982,0.000229815,,,,,,
Concord,California,37.9779777,-122.0310733,122067,0.021284982,0.000229815,,,,,,
Roseville,California,38.7521235,-121.2880059,118788,0.021284982,0.000229815,,,,,,
Santa Clara,California,37.354108,-121.9552356,116468,0.021284982,0.000229815,,,,,,
Vallejo,California,38.1040864,-122.2566367,115942,0.021284982,0.000229815,,,,,,
Victorville,California,34.5361067,-117.2911565,115903,0.021284982,0.000229815,,,,,,
El Monte,California,34.0686207,-118.0275667,113475,0.021284982,0.000229815,,,,,,
Berkeley,California,37.8715926,-122.272747,112580,0.021284982,0.000229815,,,,,,
Downey,California,33.9400143,-118.1325688,111772,0.021284982,0.000229815,,,,,,
Costa Mesa,California,33.6411316,-117.9186689,109960,0.021284982,0.000229815,,,,,,
Inglewood,California,33.9616801,-118.3531311,109673,0.021284982,0.000229815,,,,,,
San Buenaventura,California,34.2675042,-119.2548257,106433,0.021284982,0.000229815,,,,,,
West Covina,California,34.0686208,-117.9389526,106098,0.021284982,0.000229815,,,,,,
Norwalk,California,33.9022367,-118.081733,105549,0.021284982,0.000229815,,,,,,
Carlsbad,California,33.1580933,-117.3505939,105328,0.021284982,0.000229815,,,,,,
Fairfield,California,38.2493581,-122.0399663,105321,0.021284982,0.000229815,,,,,,
Richmond,California,37.9357576,-122.3477486,103701,0.021284982,0.000229815,,,,,,
Murrieta,California,33.5539143,-117.2139232,103466,0.021284982,0.000229815,,,,,,
Burbank,California,34.1808392,-118.3089661,103340,0.021284982,0.000229815,,,,,,
Antioch,California,38.0049214,-121.805789,102372,0.021284982,0.000229815,,,,,,
Daly City,California,37.7057657,-122.4619166,101123,0.021284982,0.000229815,,,,,,
Temecula,California,33.4936391,-117.1483648,100097,0.021284982,0.000229815,,,,,,
Santa Maria,California,34.9530337,-120.4357191,99553,0.021284982,0.000229815,,,,,,
El Cajon,California,32.7947731,-116.9625269,99478,0.021284982,0.000229815,,,,,,
Rialto,California,34.1064001,-117.3703235,99171,0.021284982,0.000229815,,,,,,
San Mateo,California,37.5629917,-122.3255254,97207,0.021284982,0.000229815,,,,,,
Compton,California,33.8958492,-118.2200712,96455,0.021284982,0.000229815,,,,,,
Clovis,California,36.8252277,-119.7029194,95631,0.021284982,0.000229815,,,,,,
South Gate,California,33.954737,-118.2120161,94396,0.021284982,0.000229815,,,,,,
Vista,California,33.2000368,-117.2425355,93834,0.021284982,0.000229815,,,,,,
Mission Viejo,California,33.6000233,-117.6719953,93305,0.021284982,0.000229815,,,,,,
Vacaville,California,38.3565773,-121.9877444,92428,0.021284982,0.000229815,,,,,,
Carson,California,33.8314058,-118.2820165,91714,0.021284982,0.000229815,,,,,,
Hesperia,California,34.4263886,-117.3008784,90173,0.021284982,0.000229815,,,,,,
Redding,California,40.5865396,-122.3916754,89861,0.021284982,0.000229815,,,,,,
Santa Monica,California,34.0194543,-118.4911912,89736,0.021284982,0.000229815,,,,,,
